rank,error_id,location,trigger,current_copy,user_risk,proposed_replacement,implementation_status,verification_result
15,ERR-015,src/projectforge/convention_profiles.py:import_profile,`import_profile` detects credential-shaped content.,Convention import contains credential-like content: {value}.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge found content that looks like a credential. Remove secrets and use placeholders, then retry.",implemented,full suite passed: 579 tests; ruff passed
16,ERR-016,src/projectforge/conventions.py:load_conventions_bundle,`load_conventions_bundle` detects credential-shaped content.,Convention source contains credential-like content: {value} ({value}).,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge found content that looks like a credential. Remove secrets and use placeholders, then retry.",implemented,full suite passed: 579 tests; ruff passed
17,ERR-017,src/projectforge/failure_taxonomy.py:_RULES missing tool,The selected AI executable is absent.,The provider CLI is unavailable.,High: names an implementation role and gives no resume-safe recovery.,"The selected AI tool is not available. Run `forge doctor` for setup steps, then retry with `--resume`.",implemented,full suite passed: 579 tests; ruff passed
18,ERR-018,src/projectforge/failure_taxonomy.py:_RULES model,A requested model is unavailable.,The requested model is unavailable to the provider.,High: names the provider abstraction and gives an indirect recovery.,"That model is not available for this run. Remove `--model` to use the default, then retry with `--resume`.",implemented,full suite passed: 579 tests; ruff passed
19,ERR-019,src/projectforge/failure_taxonomy.py:_RULES network,The AI service cannot be reached.,The provider could not be reached reliably.,High: vague and implementation-led.,"Forge could not reach the AI service. Check the connection and proxy settings, run `forge doctor`, then retry with `--resume`.",implemented,full suite passed: 579 tests; ruff passed
20,ERR-020,src/projectforge/failure_taxonomy.py:_RULES permission,Workspace access blocks an AI step.,The provider's workspace or approval policy blocked the operation.,High: exposes provider policy terminology.,"A workspace permission blocked this step. Keep safe mode, review workspace access, then retry with `--resume`.",implemented,full suite passed: 579 tests; ruff passed
21,ERR-021,src/projectforge/failure_taxonomy.py:_RULES sign-in,The selected AI tool is signed out.,The provider is not authenticated for this run.,High: provider terminology obscures the user action.,"Forge could not confirm sign-in for the selected AI tool. Run `forge doctor`, complete sign-in, then retry with `--resume`.",implemented,full suite passed: 579 tests; ruff passed
22,ERR-022,src/projectforge/failure_taxonomy.py:_RULES usage limit,The AI service rejects a request because of a usage limit.,The provider rejected the call because of quota or rate limits.,High: provider terminology and routing advice expose implementation details.,"The AI service is temporarily unavailable because of a usage limit. Keep the partial project, wait, then retry with `--resume`.",implemented,full suite passed: 579 tests; ruff passed
23,ERR-023,src/projectforge/runner.py:run_ai,The user-visible warning or error branch in `run_ai` is reached.,Unknown backend: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not start the selected AI tool. Run `forge doctor`, then choose a ready tool and retry.",implemented,full suite passed: 579 tests; ruff passed
24,ERR-024,src/projectforge/setup.py:_normalize_forge_config,`_normalize_forge_config` receives an unavailable or unsupported choice.,available_backends contains an unsupported backend,Low: the existing message already uses plain language and a recovery step.,available_backends contains an unsupported backend,unchanged_clear,full suite passed: 579 tests; ruff passed
25,ERR-025,src/projectforge/setup.py:_normalize_forge_config,`_normalize_forge_config` detects credential-shaped content.,backend_models contains a credential-like value,Low: the existing message already uses plain language and a recovery step.,backend_models contains a credential-like value,unchanged_clear,full suite passed: 579 tests; ruff passed
26,ERR-026,src/projectforge/setup.py:_normalize_forge_config,The user-visible warning or error branch in `_normalize_forge_config` is reached.,backend_models contains an invalid override,Low: the existing message already uses plain language and a recovery step.,backend_models contains an invalid override,unchanged_clear,full suite passed: 579 tests; ruff passed
27,ERR-027,src/projectforge/cli.py:_resolve_scaffold_target,The user-visible warning or error branch in `_resolve_scaffold_target` is reached.,Resume target does not exist. Repeat the original project name and options.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not find the partial project to resume. Use the original project name and working directory, then repeat the command.",implemented,full suite passed: 579 tests; ruff passed
28,ERR-028,src/projectforge/cli.py:main,The user-visible warning or error branch in `main` is reached.,--resume cannot be combined with --dry-run or --export.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Resume works only on a live run. Remove `--dry-run` or `--export`, then repeat the original command.",implemented,full suite passed: 579 tests; ruff passed
29,ERR-029,src/projectforge/execution_state.py:_read_progress,`_read_progress` cannot read or write the required local file.,Resume progress evidence uses an unsupported schema.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not read the saved resume information. Keep the partial project and start a new target; do not overwrite the existing work.,implemented,full suite passed: 579 tests; ruff passed
30,ERR-030,src/projectforge/runner.py:ensure_git_init,`ensure_git_init` cannot read or write the required local file.,git commit failed: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not create the first commit. Check your Git identity, then commit the generated files manually.",implemented,full suite passed: 579 tests; ruff passed
31,ERR-031,src/projectforge/runner.py:ensure_git_init,The user-visible warning or error branch in `ensure_git_init` is reached.,git add failed: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not stage the generated files. Review the project, then run `git add -A` and commit manually.",implemented,full suite passed: 579 tests; ruff passed
32,ERR-032,src/projectforge/runner.py:ensure_git_init,The user-visible warning or error branch in `ensure_git_init` is reached.,git init failed: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not use Git in the project folder. Run `git status` there, fix the reported issue, then create the first commit manually.",implemented,full suite passed: 579 tests; ruff passed
33,ERR-033,src/projectforge/setup.py:_configure_git_identity,`_configure_git_identity` cannot read or write the required local file.,Could not save git identity automatically. You can rerun forge --setup later.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not save your Git identity. Run the displayed `git config` commands manually, then rerun `forge --setup`.",implemented,full suite passed: 579 tests; ruff passed
34,ERR-034,src/projectforge/adapters/base.py:execute,`execute` exits before completing successfully.,Timed out after {value}s,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","This task stopped before it finished. Your completed work is safe; run `forge doctor`, then retry with `--resume`.",implemented,full suite passed: 579 tests; ruff passed
35,ERR-035,src/projectforge/checks.py:_check_ci_present,The user-visible warning or error branch in `_check_ci_present` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",No CI workflow was found. Add one under `.github/workflows/` to run project checks automatically.,implemented,full suite passed: 579 tests; ruff passed
36,ERR-036,src/projectforge/checks.py:_check_dir_exists,`_check_dir_exists` cannot find required project data or configuration.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",{value}/ is missing. Create it if this project should use that convention.,implemented,full suite passed: 579 tests; ruff passed
37,ERR-037,src/projectforge/checks.py:_check_docker_healthcheck,`_check_docker_healthcheck` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not read Dockerfile. Check that it is readable, then retry.",implemented,full suite passed: 579 tests; ruff passed
38,ERR-038,src/projectforge/checks.py:_check_docker_healthcheck,`_check_docker_healthcheck` skips work because a prerequisite is unavailable.,No Dockerfile (skipped),Low: the existing message already uses plain language and a recovery step.,No Dockerfile (skipped),unchanged_clear,full suite passed: 579 tests; ruff passed
39,ERR-039,src/projectforge/checks.py:_check_docker_nonroot,The user-visible warning or error branch in `_check_docker_nonroot` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Dockerfile does not select a non-root user. Create one and add a `USER` instruction.,implemented,full suite passed: 579 tests; ruff passed
40,ERR-040,src/projectforge/checks.py:_check_docker_nonroot,`_check_docker_nonroot` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not read Dockerfile. Check that it is readable, then retry.",implemented,full suite passed: 579 tests; ruff passed
41,ERR-041,src/projectforge/checks.py:_check_docker_nonroot,`_check_docker_nonroot` skips work because a prerequisite is unavailable.,No Dockerfile (skipped),Low: the existing message already uses plain language and a recovery step.,No Dockerfile (skipped),unchanged_clear,full suite passed: 579 tests; ruff passed
42,ERR-042,src/projectforge/checks.py:_check_file_exists,`_check_file_exists` cannot find required project data or configuration.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",{value} is missing. Add it to meet the project structure convention.,implemented,full suite passed: 579 tests; ruff passed
43,ERR-043,src/projectforge/checks.py:_check_health_endpoint,The user-visible warning or error branch in `_check_health_endpoint` is reached.,No health endpoint file found,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",No health endpoint file was found. Add a health route so deployments can verify readiness.,implemented,full suite passed: 579 tests; ruff passed
44,ERR-044,src/projectforge/checks.py:_check_mypy_strict,`_check_mypy_strict` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not read pyproject.toml. Check that it is readable, then retry.",implemented,full suite passed: 579 tests; ruff passed
45,ERR-045,src/projectforge/checks.py:_check_mypy_strict,The user-visible warning or error branch in `_check_mypy_strict` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Strict type checking is not configured. Add a `tool.mypy` section with `strict = true`.,implemented,full suite passed: 579 tests; ruff passed
46,ERR-046,src/projectforge/checks.py:_check_mypy_strict,`_check_mypy_strict` cannot find required project data or configuration.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",pyproject.toml is missing. Add the project configuration before enabling this check.,implemented,full suite passed: 579 tests; ruff passed
47,ERR-047,src/projectforge/checks.py:_check_ruff_config,`_check_ruff_config` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not read pyproject.toml. Check that it is readable, then retry.",implemented,full suite passed: 579 tests; ruff passed
48,ERR-048,src/projectforge/checks.py:_check_ruff_config,`_check_ruff_config` cannot find required project data or configuration.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",pyproject.toml is missing. Add the project configuration before enabling this check.,implemented,full suite passed: 579 tests; ruff passed
49,ERR-049,src/projectforge/checks.py:detect_stack,The user-visible warning or error branch in `detect_stack` is reached.,unknown,Low: the existing message already uses plain language and a recovery step.,unknown,unchanged_clear,full suite passed: 579 tests; ruff passed
50,ERR-050,src/projectforge/cli.py:_load_scaffold_record,`_load_scaffold_record` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not read this project's scaffold record. Restore it from a trusted backup, or scaffold a new target.",implemented,full suite passed: 579 tests; ruff passed
51,ERR-051,src/projectforge/cli.py:_resolve_project_dir,The user-visible warning or error branch in `_resolve_project_dir` is reached.,Aborted.,Low: the existing message already uses plain language and a recovery step.,Aborted.,unchanged_clear,full suite passed: 579 tests; ruff passed
52,ERR-052,src/projectforge/cli.py:admin_conventions,The user-visible warning or error branch in `admin_conventions` is reached.,Conventions error: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not load the bundled conventions. Reinstall Forge or restore its bundled conventions, then run `forge admin conventions --validate`.",implemented,full suite passed: 579 tests; ruff passed
53,ERR-053,src/projectforge/cli.py:check,`check` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not create that convention file. Check that the project folder is writable, then run `forge check --fix` again.",implemented,full suite passed: 579 tests; ruff passed
54,ERR-054,src/projectforge/cli.py:check,`check` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not save the audit report at that location. Choose a writable path, then export it again.",implemented,full suite passed: 579 tests; ruff passed
55,ERR-055,src/projectforge/cli.py:conventions_edit,The user-visible warning or error branch in `conventions_edit` is reached.,{safe error detail},Low: the existing message already uses plain language and a recovery step.,{safe error detail},unchanged_clear,full suite passed: 579 tests; ruff passed
56,ERR-056,src/projectforge/cli.py:conventions_import,The user-visible warning or error branch in `conventions_import` is reached.,{safe error detail},Low: the existing message already uses plain language and a recovery step.,{safe error detail},unchanged_clear,full suite passed: 579 tests; ruff passed
57,ERR-057,src/projectforge/cli.py:conventions_init,The user-visible warning or error branch in `conventions_init` is reached.,{safe error detail},Low: the existing message already uses plain language and a recovery step.,{safe error detail},unchanged_clear,full suite passed: 579 tests; ruff passed
58,ERR-058,src/projectforge/cli.py:conventions_inspect,The user-visible warning or error branch in `conventions_inspect` is reached.,{safe error detail},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not load the active conventions. Run `forge conventions validate`, then fix or restore the convention files.",implemented,full suite passed: 579 tests; ruff passed
59,ERR-059,src/projectforge/cli.py:conventions_preview,The user-visible warning or error branch in `conventions_preview` is reached.,{safe error detail},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not load the active conventions. Run `forge conventions validate`, then fix or restore the convention files.",implemented,full suite passed: 579 tests; ruff passed
60,ERR-060,src/projectforge/cli.py:conventions_select,The user-visible warning or error branch in `conventions_select` is reached.,{safe error detail},Low: the existing message already uses plain language and a recovery step.,{safe error detail},unchanged_clear,full suite passed: 579 tests; ruff passed
61,ERR-061,src/projectforge/cli.py:conventions_validate,The user-visible warning or error branch in `conventions_validate` is reached.,{safe error detail},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not load the active conventions. Fix or restore the convention files, then validate again.",implemented,full suite passed: 579 tests; ruff passed
62,ERR-062,src/projectforge/cli.py:evolve,The user-visible warning or error branch in `evolve` is reached.,No .forge/scaffold.json found. Run this inside a Forge project.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not find this project's scaffold record. Run this command from the root of a project created by Forge.,implemented,full suite passed: 579 tests; ruff passed
63,ERR-063,src/projectforge/cli.py:evolve,`evolve` receives an unavailable or unsupported choice.,Unknown capability '{value}'. Choose from: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",That capability is not available for this stack. Choose one of: {value}.,implemented,full suite passed: 579 tests; ruff passed
64,ERR-064,src/projectforge/cli.py:evolve,The user-visible warning or error branch in `evolve` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","The change was applied, but Forge could not update the scaffold record. Check that the project folder is writable before using `forge evolve` again.",implemented,full suite passed: 579 tests; ruff passed
65,ERR-065,src/projectforge/cli.py:evolve,`evolve` receives an unavailable or unsupported choice.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","The selected AI tool is not available. Run `forge doctor`, complete the recommended setup, then retry.",implemented,full suite passed: 579 tests; ruff passed
66,ERR-066,src/projectforge/cli.py:evolve,The user-visible warning or error branch in `evolve` is reached.,{safe error detail},Low: the existing message already uses plain language and a recovery step.,{safe error detail},unchanged_clear,full suite passed: 579 tests; ruff passed
67,ERR-067,src/projectforge/cli.py:main,The user-visible warning or error branch in `main` is reached.,Conventions error: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not load the active conventions. Run `forge conventions validate`, then fix or restore the convention files.",implemented,full suite passed: 579 tests; ruff passed
68,ERR-068,src/projectforge/cli.py:main,`main` cannot read or write the required local file.,Could not write to {value}: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not save the prompt at that location. Choose a writable path and run the export again.,implemented,full suite passed: 579 tests; ruff passed
69,ERR-069,src/projectforge/cli.py:main,`main` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge created the project files but could not save the scaffold record. Keep the generated files, make the project folder writable, then scaffold a new target.",implemented,full suite passed: 579 tests; ruff passed
70,ERR-070,src/projectforge/scaffold_completion.py:complete_scaffold,`complete_scaffold` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","The project was created, but Forge could not save some local history or verification files. Check that the project and Forge data folders are writable before the next run.",implemented,full suite passed: 579 tests; ruff passed
71,ERR-071,src/projectforge/cli.py:_require_ready_backends,The user-visible warning or error branch in `_require_ready_backends` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","[red]No ready AI tool is available.[/red] [dim]Run `forge doctor`, complete one recommended setup path, then retry.[/dim]",implemented,full suite passed: 579 tests; ruff passed
72,ERR-072,src/projectforge/scaffold_request.py:_resolve_ci,The user-visible warning or error branch in `_resolve_ci` is reached.,[red]Unknown CI actions '{value}' for stack '{value}'. Choose from: {value}[/red],"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",[red]Some CI checks do not work with this stack. Choose from: {value}.[/red],implemented,full suite passed: 579 tests; ruff passed
73,ERR-073,src/projectforge/scaffold_request.py:_resolve_ci,`_resolve_ci` receives an unavailable or unsupported choice.,[red]Unknown CI template '{value}'. Choose from: {value}[/red],"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",[red]That CI template is not available. Choose one of: {value}.[/red],implemented,full suite passed: 579 tests; ruff passed
74,ERR-074,src/projectforge/scaffold_request.py:_validate_design_template,The user-visible warning or error branch in `_validate_design_template` is reached.,[red]Design template '{value}' is not supported for stack '{value}'. Choose from: {value}[/red],"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",[red]That design template does not work with this stack. Choose one of: {value}.[/red],implemented,full suite passed: 579 tests; ruff passed
75,ERR-075,src/projectforge/scaffold_request.py:_validate_design_template,`_validate_design_template` receives an unavailable or unsupported choice.,[red]Unknown design template '{value}'. Choose from: {value}[/red],"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",[red]That design template is not available. Choose one of: {value}.[/red],implemented,full suite passed: 579 tests; ruff passed
76,ERR-076,src/projectforge/scaffold_request.py:_resolve_stack,`_resolve_stack` receives an unavailable or unsupported choice.,[red]Unknown stack '{value}'. Choose from: {value}[/red],"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",[red]That stack is not available. Choose one of: {value}.[/red],implemented,full suite passed: 579 tests; ruff passed
77,ERR-077,src/projectforge/scaffold_request.py:_validate_design_template,The user-visible warning or error branch in `_validate_design_template` is reached.,[red]Stack '{value}' does not support --design-template.[/red],"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",[red]This stack does not support a design template. Remove `--design-template` and try again.[/red],implemented,full suite passed: 579 tests; ruff passed
78,ERR-078,src/projectforge/cli.py:main,The user-visible warning or error branch in `main` is reached.,{safe error detail},Low: the existing message already uses plain language and a recovery step.,{safe error detail},unchanged_clear,full suite passed: 579 tests; ruff passed
79,ERR-079,src/projectforge/cli.py:mark_phase,The user-visible warning or error branch in `mark_phase` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",{safe error detail},implemented,full suite passed: 579 tests; ruff passed
80,ERR-080,src/projectforge/cli.py:_resolve_replay_routes,`_resolve_replay_routes` receives an unavailable or unsupported choice.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",A tool used by the original scaffold is unavailable. Run `forge doctor`; complete its setup before replaying for comparable results.,implemented,full suite passed: 579 tests; ruff passed
81,ERR-081,src/projectforge/cli.py:_render_and_save_replay_diff,`_render_and_save_replay_diff` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge compared the projects but could not save the diff report. Check that the project folder is writable, then run replay with `--diff` again.",implemented,full suite passed: 579 tests; ruff passed
82,ERR-082,src/projectforge/cli.py:replay,The user-visible warning or error branch in `replay` is reached.,No .forge/scaffold.json found. Run this inside a Forge project.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not find this project's scaffold record. Run this command from the root of a project created by Forge.,implemented,full suite passed: 579 tests; ruff passed
83,ERR-083,src/projectforge/cli.py:_load_replay_conventions,The user-visible warning or error branch in `_load_replay_conventions` is reached.,Conventions error: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not load conventions for replay. Run `forge conventions validate`, then fix or restore the convention files.",implemented,full suite passed: 579 tests; ruff passed
84,ERR-084,src/projectforge/cli.py:_load_replay_conventions,`_load_replay_conventions` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not read the saved convention snapshot. Restore it from a trusted backup, or remove it to use current conventions.",implemented,full suite passed: 579 tests; ruff passed
85,ERR-085,src/projectforge/cli.py:_load_replay_conventions,`_load_replay_conventions` cannot find required project data or configuration.,No conventions snapshot found. Using current bundled conventions for stack '{value}'. / No conventions snapshot found. Using current conventions.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","No saved convention snapshot was found. Forge will use current conventions, so replay results may differ.",implemented,full suite passed: 579 tests; ruff passed
86,ERR-086,src/projectforge/cli.py:_load_replay_conventions,The user-visible warning or error branch in `_load_replay_conventions` is reached.,Unknown stack '{value}' in replay manifest; falling back to current bundled conventions.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","The recorded project type is no longer available. Use the original Forge version to replay it, or scaffold a new target.",implemented,full suite passed: 579 tests; ruff passed
87,ERR-087,src/projectforge/cli.py:replay,The user-visible warning or error branch in `replay` is reached.,{safe error detail},Low: the existing message already uses plain language and a recovery step.,{safe error detail},unchanged_clear,full suite passed: 579 tests; ruff passed
88,ERR-088,src/projectforge/cli.py:stats,`stats` cannot read or write the required local file.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not read the saved scaffold history. Check that Forge's data folder is readable, then retry.",implemented,full suite passed: 579 tests; ruff passed
89,ERR-089,src/projectforge/cli.py:stats,The user-visible warning or error branch in `stats` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not repair the saved scaffold history. Check that Forge's data folder is readable and writable, then retry.",implemented,full suite passed: 579 tests; ruff passed
90,ERR-090,src/projectforge/config.py:_check_antigravity_status,The user-visible warning or error branch in `_check_antigravity_status` is reached.,Python exception or raw tool output,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not confirm that this tool is ready.,implemented,full suite passed: 579 tests; ruff passed
91,ERR-091,src/projectforge/config.py:_check_antigravity_status,`_check_antigravity_status` skips work because a prerequisite is unavailable.,"Antigravity is installed, but Forge could not run its version check.","The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",Forge could not run this tool's version check.,implemented,full suite passed: 579 tests; ruff passed
92,ERR-092,src/projectforge/config.py:_check_antigravity_status,The user-visible warning or error branch in `_check_antigravity_status` is reached.,Antigravity is installed; its sign-in state could not be confirmed.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",This tool is installed but needs sign-in.,implemented,full suite passed: 579 tests; ruff passed
93,ERR-093,src/projectforge/config.py:_check_antigravity_status,`_check_antigravity_status` exceeds its execution time limit.,Antigravity is installed; its sign-in check timed out.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",This tool's sign-in check took too long.,implemented,full suite passed: 579 tests; ruff passed
